,information,group,target,doc_id
102,"20 хороший природный антибиотик 
",2,0,13106
103,"дневник jenstvennorysa   liveinternet   российский сервис онлайн дневник 
",2,0,13767
104,"показывать содержимое  тег  2010   мир  культура 
",2,0,12504
105,"николай илларионович данилов целебный магия дар юг серия  природа лечить      целебный магия дар юг 
",2,0,14300
106," судьба эп20  архив     страница 14   форум trainsim 
",2,0,14103
107,"консультация специалист   новость проект   страна мама 
",2,0,13055
108,"компресс  ларингит 
",2,1,14745
109,"новость  сообщение  официальный группа вконтакте магазин чай  м д  улица горький   магазин   калининград 
",2,0,11585
110,"  парить нога  простуда      хотеть спрашивать 
",2,0,11968
111,"обильный теплый питие   ромашковый час  фенистил  т   сухой кашель мочь обертываться ларингит   фарингосепт    похожий сосательный антисептический 
",2,0,13102
112,"острый трахеит  причина  симптом  лечение 
",2,0,12896
113,"инфекционный заболевание   лечение народный средство 
",2,0,11844
114,"гбуз  центр медицинский профилактика  министерство здравоохранение кк     школа  здоровье ребенок дошкольный возраст  
",2,0,12744
115,"простой горчичник    простой  
",2,1,13337
116,"первый помощь  ларингит    делать  ларингит 
",2,1,14707
117,"соэ  кровь  беременность    популярный вопрос  беременность  ответ   
",2,0,13339
118,"    вынести  отдельный топик пожалуй срочно  архив    jetem 
",2,0,11441
119,"форум  списко сообщение тема      
",2,0,11751
120,"ответ mail    лечить   ларингит    
",2,1,13899
121,"профессиональный задача  экзамен квалификационный 
",2,0,13555
122,"компресс  горло  ларингит    делать 
",2,1,11618
123,"лечение стенокардия народный средство  боярышник  голод  др    также профилактика 
",2,0,12518
124,"дополнительный заработок пенсионер 
",2,0,11737
125," быстро вылечивать горло  домашний условие 
",2,0,11818
126,"целебный раствор аспирин  шпора  варикоз  остеохондроз   
",2,0,12798
127,"газета приморье  ава     посиделки     хлюпать нос 
",2,0,12192
128,"бронхит  характеристика  симптом  лечение 
",2,0,14543
129,"персональный сайт   главный 
",2,0,14049
130,"лечение бронхит  кашель метод народный медицина  обсуждение  liveinternet   российский сервис онлайн дневник 
",2,0,12650
131,"николай козлов  синтон   психология   тренинг    пекерский е м  вокальный букварь 
",2,0,11920
132,"ларингит  симптом  лечение  домашний условие 
",2,1,14807
133,"ринит  насморк   симптом  причина  лечение 
",2,0,11565
134,"  ш е л ь  обсуждение  liveinternet   российский сервис онлайн дневник 
",2,0,11879
135," вкусно  полезный   архив     форум рассвет сварог 
",2,0,13104
136,"имбирный чай гастрит 
",2,0,11515
137," 3 правильный питание  архив     форум диета  похудение 
",2,0,13404
138,"ребенок должный содержаться  чистота  иметь опрятный вид 
",2,0,14410
139,"глава 2  внутренний болезнь   общий вопрос уход  больной 
",2,0,13355
140,"боль  полный медицинский справочник диагностика 
",2,0,12953
141,"консультация кардиолог 
",2,0,13358
142,"горчичник  кашель ребенок   правильно ставить 
",2,0,14142
143,"                      лечить кашель  трахеит              
",2,0,14614
144,"  греть горло  ангина  ларингит  фарингит 
",2,1,13108
145," останавливать  вылечивать сильный кашель  народный способ лечение 
",2,0,14593
146," лечение продукт пчеловодство  архив     форум сайт медосбор  пчеловодческий торрент трекер  медосбор   вс  пч л  пчеловод  
",2,0,14164
147,"вопрос софья михайловна крупянко    вопрос софья михайловна  москва  нцссх   бакулев     консультация специалист  врожд нные порок сердце 
",2,0,12643
148," поставлять диагноз радикулит  лечение  начинать   рано 
",2,0,12754
149," лечить лающий кашель  ребенок  причина  лечение 
",2,0,12254
150," лечить детский кашель  метод доктор комаровский  лекарство 
",2,0,12051
151,"конкурс короткий креатив  12   голосование   яплакать 
",2,0,13914
152,"кашель  беременность  причина  лечение  опасность 
",2,0,11526
153,"лекарственный гастрит 
",2,0,14549
154,"blog archives   resursrose14 
",2,0,13031
155,"отек горло   
",2,1,12611
156," лечить ларингит народный средство    online otvet net 
",2,1,13131
157,"иммунитет   страница 5   здоровье   космофорум 
",2,0,11368
158,"иммунодефицитный состояние  первичный   противопоказанный вакцина  бцж  опв  коревой  паротитный  краснушный  
",2,0,13900
159,"  давать ребенок  кашель  vovet  
",2,0,14163
160,"stereo     форум   просмотр тема   прогрев аппаратура 
",2,0,14430
161,"педразвитие   публикация педагог  тема оздоровительный деятельность дошкольный учреждение 
",2,0,11692
162," простуда голос пропадать   здоровье  быт  увлечение  отношение 
",2,0,14597
163,"карта сайт   116 
",2,0,13352
164," помогать  кашель   энциклопедия здоровье 
",2,0,12649
165,"объявление   конкурс вопрос  проведение сеанс   2  
",2,0,14703
166,"новость неделя 
",2,0,11652
167,"острый ларингит 
",2,1,12436
168,"острый трахеит   deeeta   
",2,0,11303
169,"здоровье   запись  рубрика здоровье   дневник elena protsenko   liveinternet   российский сервис онлайн дневник 
",2,0,13198
170,"ринит   блог студент   медик 
",2,0,11855
171,"ветеринарный кабинет 
",2,0,12339
172,"тема  клинический картина заболевание орган дыхание 
",2,0,12669
173,"форум родитель   астматический бронхит  астма  
",2,0,13691
174,"ответ mail   сколько  держать  грудной клетка гарчичник малыш 3 5 годик 
",2,0,14077
175," грипп  уберегаться  осложнение  
",2,0,13177
176,"герань полезный растение 
",2,0,14453
177,"горчичник  кашель  показание  противопоказание  способ постановка 
",2,0,12969
178,"крестовый сестра  алексей ремизов    читальный зал   омилий 
",2,0,14701
179,"   лечение ларингит  домашний условие   болеть горло  
",2,1,14677
180,"альбина рамазанова   вконтакте 
",2,0,12059
181,"лечение ларингит  домашний условие   компетентно  здоровье  ilive 
",2,1,13226
182,"николай козлов  синтон   психология   тренинг    хайнлайн роберт  чужак  чужой страна 
",2,0,12538
183,"гастрит  зуб 
",2,0,12701
184,"болезнь орган дыхание  продолжение  
",2,0,12389
185,"паразитарный теория рак    просмотр тема   синий йод 
",2,0,11437
186,"материнство    грипп  орви  гв 
",2,0,12593
187," лечить простуда 
",2,0,11335
188,"народный рецепт  кашель 
",2,0,13144
189," опасный кашель  беременность  причина появление  способ лечение 
",2,0,13142
190,"горчичник  ларингит  согревать компресс  горло 
",2,1,11336
191,"метод лечение ларингит  народный средство домашний условие 
",2,1,12761
192,"лечебный сила мед   hintfox 
",2,0,13382
193,"детский ларингит    медицина   педиатрия 
",2,0,12071
194,"лечение чеснок  чеснок   целебный приправа 
",2,0,12415
195,"аденовирусный инфекция 
",2,0,11772
196,"протодиакон андрей кураев  второе пришествие апокриф    храм смоленский икона божий мать 
",3,0,3633
197,"д    канделак  статья 
",3,0,1806
198,"анализ  ттг  т4   сдавать   правильно сдавать    день цикл 
",3,1,3259
199,"родиола розовый  женьшень   красиво  здоровый образ жизнь 
",3,0,3394
200,"реконструкция мостовый перегружатель грузоподъемность 32 тонна  грузовой атп 
",3,0,3005
201,"blog posts   pragmatika 
",3,0,1886
202,"всн 110 64 технический указание  проектирование  строительство фундамент  опора мост  сборная железобетонный оболочка   скачать бесплатно 
",3,0,300
203," приготавливать  кабачок  гастрит 
",3,0,1367
204," писать стих 
",3,0,515
205,"франция  эпоха ренессанс 
",3,0,2396
206,"первый алтайский грамматика    алтай туристский  туристический портал 
",3,0,3391
207,"разработка автоматизированный элька тропривод насосный агрегат текстильный предприятие 
",3,0,88
208,"лекция  философия качество 
",3,0,1189
209,"инструкция  планирование  учет  калькулирование себестоимость продукция  предприятие стеновый материал 
",3,0,1333
210," познание  тайный логика вещь   проблема  литература  действительность   традиция школа белецкий   владимир звиняцковский 
",3,0,2862
211,"ирина павловская 
",3,0,405
212,"ирина павловская 
",3,0,3422
213,"lib  классика  ключевский василий осипович  источник русский история 
",3,0,3640
214,"розов н    война  рядом  сущность  происхождение массовый организованный насилие  
",3,0,137
215,"дмитрий л  медведев  черчилль   лидер  весь текст    modernlib   p мастер письменный коммуникация  p     p нисходящий коммуникация  p     p восходящий коммуникация  p     p горизонтальный коммуникация  p     p эффективность письменный коммуникация  p     p невербальный коммуникация  p     p   сторона ла манша  p     p визит  новый свет  p     p встреча  президент  p     p ночь  сталин  p     p саммит  p     p значение публичный выступление  p     p тщательный подготовка  p     p концентрация  идея  p     p  хороший начало   p     p использование метафора  p     p юмор  p     p мнемонический техника  чтение  записка   p     p дикция  мимика  жест  p     p стилистика  p     p правильный слово  p     p памятный фраза  p     p разновидность неформальный коммуникация  p     p рабочий связь  p     p личный связь  p    
",3,0,2280
216,"библиотека психолог 
",3,0,753
217,"пб 10 382 00 правило устройство  безопасность эксплуатация грузоподъемный кран   змк элемент 
",3,0,1948
218,"вопрос ответ   доктор алена горшков 
",3,0,1657
219,"стена   вконтакте 
",3,0,3008
220,"комментарий   кулибинск клуб 
",3,0,1984
221," конкурс    создавать корабль  вселенная новый эдем    goha  
",3,0,1928
222," правильно сдавать кровь  гормон щитовидный железа  ттг  т4  т3 
",3,1,3006
223,"спрашивать доктор 
",3,0,1540
224,"николай ii   википедия 
",3,0,1885
225," щитовидка гормон т3  т4  ттг сдавать   день цикл   половой гормон фоликулостить  лютеинизировать  сдавать  
",3,1,2841
226,"1  неврологический патология 
",3,0,3875
227,"                            военный исторический аспект хронология монгольский нашествие   публикация  журнал  молодой ученый                 
",3,0,3937
228,"реферат   американский период творчество п   сорокина 
",3,0,4013
229,"free web hosting    website need   migrated 
",3,0,2539
230,"материнство    планирование  гормональный терапия 
",3,0,3092
231,"история законодательство  право поземельный собственность  россия  ix  начало xx век 
",3,0,3303
232,"печать страница   17 сьезд вкп  б    сьезд расстреливать победитель 
",3,0,2327
233,"административный деятельность  л ордин нащокина  сфера местный управление 
",3,0,2012
234,"помогать  слива похудеть 
",3,0,2466
235,"часть первый несбывшийся надежда   агония 1941  кровавый дорога отступление 
",3,0,1875
236,"  психология экстремальный ситуация  
",3,0,9492
237,"м  б  аншин центр репродукция  генетика  фертимед   г  москва 
",3,0,1
238,"комплексный нормативный словарь современный русский язык 
",3,0,3835
239,"диплом гражданский право  процесс процедура заключение международный договор 
",3,0,1686
240,"       день цикл сдавать анализ  гормон ттг женщина   
",3,1,996
241,"энтони саттон   кулиса  русский  революция  уолл стрит    большевистский революция  конспирология 
",3,0,3947
242,"читать онлайн   большой советский энциклопедия  большой советский энциклопедия  ока    электронный библиотека e libra     
",3,0,948
243,"анализ  гормон  женщина  климакс   женский совет 
",3,0,245
244,"символист    статья  разыскание  публикация 
",3,0,854
245," форум теплопункт 
",3,0,1824
246,"гость  e1    екатеринбург онлайн 
",3,0,1292
247," оружейный  новость  архив     страница 37   battle forum 
",3,0,3327
248,"  день цикл сдавать  ттг   pro shchitovidku 
",3,1,1329
249,"вопрос ответ  тема  овуляция  ановуляция  страница  10   клиника гендерный медицина andros 
",3,0,1956
250,"аникеев владимир  научный фантастика польша  весь текст    modernlib  
",3,0,766
251,"сердечный недостаточность  диабет   лечение сердце 
",3,0,3493
252,"обследование  курс лечение эко шаблон 
",3,1,2288
253,"библиотека   фонд знание  ломоносов  
",3,0,968
254,"  день цикл сдавать гормон щитовидный железа 
",3,0,817
255,"задавать вопрос главный врач 
",3,0,3586
256,"диплом история человек тыл 
",3,0,2639
257,"экстремальный состояние лев альтшулер  глава  книга  борис альтшулер  семь искусство   6   литбук 
",3,0,2207
258,"             электронный книга  lit book library ebookaccess    рассылка   subscribe                   
",3,0,1941
259,"хроника последний рубеж   liveinternet   российский сервис онлайн дневник 
",3,0,627
260,"министерство образование  наука рф 
",3,0,173
261,"постоянный слабость  терапия   антиретровирусный терапия online 
",3,0,3080
262,"экологический рейтинг adac удивлять слабость дизель   drive2 
",3,0,3053
263,"абрамов ф     биография  вариант 5    край друг 
",3,0,3055
264,"консультация специалист  репродуктолог  эмбриолог  андролог  гинеколог  психолог  юрист   задавать вопрос врач 
",3,0,3718
265,"история русский литература  4 х    3  глава девятый 
",3,0,963
266,"  маточный беременность  это 
",3,0,3556
267,"гост р 55209 2012 устройство безопасность  регулирование  управление  газовый горелка  газовый прибор  общий требование 
",3,0,2273
268,"коллекция золотоордынский документ xiv век  венеция  ярлык узбек венецианский купец азов  drevlit    библиотека древний рукопись   
",3,0,2502
269,"учебный пособие 6 е издание  перерабатывать  дополнять москва 2008удк 16 075  8  ббк 87  4я73к43   учебный пособие 
",3,0,2439
270,"вопрос  беременность  планирование семья 
",3,0,2913
271," зарядка lipo  чистый  энергия  архив     fonarevka    вс   фонарь  осветительный техника 
",3,0,239
272," sky ray king 3 cree xm l 2000 lumen 3 mode 4 18650  архив     страница 2   fonarevka    вс   фонарь  осветительный техника 
",3,0,2602
273,"варикозный болезнь форум 
",3,0,2234
274,"   день менструальный цикл нужно сдавать анализ  т3  т4  ттг       архив     недуг ру 
",3,1,3575
275,"правовой обеспечение репрессия против священнослужитель  1920 1930 е гг  
",3,0,2661
276,"  день цикл сдавать  ттг 
",3,1,2643
277,"медицинский центр  губернский лекарь  мурманск  онлайн консультация 
",3,0,2854
278,"бесплатный консультация врач  вопрос врач эндокринолог 
",3,0,3032
279,"         морда  забор     
",3,0,1511
280,"иосифов волоколамский  волоцкий   честь успение пресвятой богородица монастырь 
",3,0,78
281," центральный научный библиотека    состояние  основной направление территориальный развитие сеть  пример непродовольственный сеть г  санкт петербург 
",3,0,1877
282," беременность  наступать   онлайн журнал  женщина 
",3,1,638
283,"поступать  редакция 
",3,0,382
284,"петербургский марксист  группа  освобождение труд  
",3,0,995
285,"онлайн консультация  поиск   карьера врач терапевт 
",3,0,1475
286,"исторический учение  отец церковь  часть 7 читать  скачать   святитель филарет черниговский  гумилевский  
",3,0,1237
287,"острый  хронический воспалительный заболевание 
",3,0,3685
288,"оборотный капитал предприятие   банк бесплатный реферат  курсовой  дипломный работа    студенточка  
",3,0,2899
289,"диплом история человек тыл 
",3,0,3417
290,"лечение грибок alternaria alternata аллергия лечение 
",3,0,2817
291,"форум родитель   щитовидный железа 
",3,0,1674
292,"  пить алкоголь принимать мидокалм 
",3,0,3349
293,"болеть живот  месячный похудение 
",3,0,1988
294,"институт коммерческий инженерия исследование  разработка выпуск 3 p       это делаться   финансовый  социальный  информационный технология 
",4,0,14619
295,"  3  гарантия репатриация доход иностранныхинвестор  международный право  национальномзаконодательство российский федерация 
",4,0,12266
296,"игорь агамирзян   лежачий инноватор инвестиция  потечь 
",4,0,12970
297,"центральный научный библиотека    шпаргалка  финансы  кредит 
",4,0,11908
298,"новость   правило успешный инвестиция  10 известный финансист 
",4,0,14140
299,"cryptobankint    инвестиция  400   месяц   форум  бизнес онлайн   groupmoney  
",4,0,14183
300,"новость 
",4,0,11687
301,"новость  россия 
",4,0,12157
302,"  вкладывать деньги  беларусь  
",4,0,11746
303,"андрей мовчан     вопрос    кончаться   1998 год    форум работник железнодорожный транспорт 
",4,0,13192
304,"глава 2 
",4,0,14610
305,"сбер желать увеличивать вдвое возврат инвестиционный капитал 
",4,0,14220
306," вкладывать деньги  получать процент  
",4,0,12820
307,"государственный регулирование цена    бесплатный реферат 
",4,0,13796
308,"1  организация управление финансы 
",4,0,14655
309,"   выбирать нпф    page 7   обсуждение пенсионный фонд   форум pensiamarket    навигатор пенсионный рынок  
",4,0,12635
310,"новость 
",4,0,11694
311,"оффшорный фонд    создаваться фонд  
",4,0,14766
312,"стоить  вкладывать деньги  паевой инвестиционный фонд  
",4,1,11961
313,"сущность  функция финансы  финансовый политика                             большой научный библиотека 
",4,0,12428
314,"сколько  вкладывать  эффект    время жить вместе 
",4,0,13547
315,"инновационный менеджмент 
",4,0,12996
316,"умерять аппетит 
",4,0,13199
317,"стоить  вкладывать деньги  инвестиционный фонд    финансы  бизнес 
",4,1,14136
318,"новость 
",4,0,14064
319,"конфликт интерес  финансовый индустрия 
",4,0,13442
320,"гость  e1    екатеринбург онлайн 
",4,0,12003
321,"бизнес планирование  акционерный общество энергетика  электрификация   книга  
",4,0,11451
322,"шпаргалка  экономика предприятие 
",4,0,14667
323,"  начинать      школа частный инвесторашкола частный инвестор 
",4,0,11305
324,"стоить  нести деньги  пиф    рамблер финансы 
",4,1,13002
325,"доходность пиф    пиф вкладывать деньги  стоить  это делать  
",4,0,11601
326,"    родионов венчурный капитал  инновационный экономика москва 2010 
",4,0,13100
327,"стенограмма  правительственный час   вопрос износ основной фонд    современный россия   народный хозяйственный комплекс  топливный энергетический   
",4,0,13447
328,"сми  япония планировать вкладывать  проект  дальний восток 9 6 млрд доллар 
",4,0,11967
329,"стоить  вкладывать свой деньги  инвестиционный фонд  
",4,0,14081
330,"географический положение  экономика испания  
",4,0,13304
331," правильно инвестировать деньги         vvoice  
",4,0,11755
332,"клуб инвестор   тема  обучение трейдинг  система ilearney    6 страница 
",4,0,13107
333," вкладывать 1млн  
",4,0,12641
334,"журнал международный жизнь   выступление владимир путин  петербургский международный экономический форум 
",4,0,11264
335,"библиотека think troeshnik      финансовый план   
",4,0,11964
336,"вклад инвестиция  интернет 
",4,0,13353
337," вкладывать деньги сегодня  
",4,0,14603
338,"разработка бизнес план  получение кредит 
",4,0,14006
339,"  выгодно вкладывать деньги   fxtrend info 
",4,0,11738
340,"invest hyip      рисковой инвестиция  hyip проект    страница 13 
",4,0,12445
341," пиф самый  жный  прибыльный    который   вкладывать     50т  р    100smet 
",4,1,13183
342," пиф   ознакомление 
",4,0,14579
343,"9 3  оценка коммерческий эффективность инвестиционный проект  показатель  критерий 
",4,0,14663
344,"поиск  запрос   весть  
",4,0,13650
345,"реферат  управление операция  ценный бумага  схпк адышевский оричевский р  кировский область      дипломный  курсовой  реферат   заказ     5   качественно  быстро  недорого 
",4,0,13420
346,"глава 8   инвестиция  энергетика   зенов  м  экономика ядерный энергетика   n1 doc 
",4,0,13986
347,"глава 9  рынок капитал  процентный ставка  инвестиция   учебный пособие  таганрог  изда  трту 
",4,0,13040
348,"стоить  вкладывать деньги  пиф  2016 год  плюс  минус вложение  пиф   open deposit  
",4,1,13804
349,"стена   вконтакте 
",4,0,12647
350,"понятие  сущность инвестиция 
",4,0,14032
351,"финансовый грамотность  7 вариант создание инвестиционный портфель   беседка   мозырьавто  мозырский автомобильный форум мозырь авто 
",4,0,13035
352,"инвестиция  зарубежный недвижимость   финансы деньги рынок 
",4,0,14418
353,"управление реальный инвестиция    управлять  эффективно  
",4,0,12549
354,"  связь  ставка цб  цена  нефть  
",4,0,13833
355,"внебюджетный фонд  профсоюз  социальный политика 
",4,0,13703
356,"агропром 
",4,0,13474
357,"четырнадцатый инвестиционный отч т   rich invest net 
",4,0,14186
358,"  сегодня выгодный  безопасно вкладывать деньги     начинать  
",4,0,14175
359," выгодно вкладывать сбережение  наступать год   audit   
",4,0,13836
360,"роль иностранный инвестиция  экономический развитие казахстан 
",4,0,12080
361," вкладывать деньги  etf   совет инвестор 
",4,0,11661
362,"искать советник  который  практика использовать собственный совет  
",4,0,12321
363," способ инвестирование 
",4,0,13148
364,"оценка  реализация инвестиционный проект  сфера жилищный коммунальный хозяйство   пример деятельность предприятие жкх красноселькупский район ямало ненецкий автономный округ    reshebniki online  
",4,0,12821
365,"инвестирование  выгодно  вкладывать  пиф 
",4,1,14551
366,"выгодный  инвестиция  недвижимость африка    бизнес  африка 
",4,0,11823
367,"новость 
",4,0,14379
368,"стоить  вкладывать деньги  пиф  миф  реальность   cleanbrain 
",4,0,12934
369,"инвестиция  сбережение  курсовой работа  т   читать текст оnline    
",4,0,14756
